Date,High,Low
2017-07-09,3582.79,3549.42
2017-07-16,3581.89,3564.25
2017-07-23,3583.91,3573.41
2017-07-30,3572.48,3548.1
2017-08-06,3578.84,3544.65
2017-08-13,3601.23,3573.55
2017-08-20,3620.49,3591.45
2017-08-27,3623.47,3619.41
2017-09-03,3642.94,3613.66
2017-09-10,3653.54,3632.52
2017-09-17,3647.74,3639.44
2017-09-24,3656.64,3620.29
2017-10-01,3668.54,3651.0
2017-10-08,3660.19,3645.66
2017-10-15,3667.75,3642.65
2017-10-22,3657.19,3631.25
2017-10-29,3675.15,3628.27
2017-11-05,3684.29,3669.66
2017-11-12,3689.94,3655.35
2017-11-19,3694.23,3681.5
2017-11-26,3717.91,3678.02
2017-12-03,3720.85,3701.01
2017-12-10,3748.55,3719.27
2017-12-17,3790.06,3740.67
2017-12-24,3824.07,3809.24
2017-12-31,3840.28,3790.75
2018-01-07,3870.78,3858.99
2018-01-14,3905.93,3877.34
2018-01-21,3959.46,3906.03
2018-01-28,3950.25,3908.04
2018-02-04,3922.14,3884.17
2018-02-11,3916.94,3896.18
2018-02-18,3940.18,3897.65
2018-02-25,3893.74,3877.07
2018-03-04,3860.27,3796.96
2018-03-11,3820.35,3786.96
2018-03-18,3805.77,3770.15
2018-03-25,3766.3,3749.68
2018-04-01,3797.61,3771.23
2018-04-08,3811.62,3811.62
2018-04-15,3822.51,3815.06
2018-04-22,3779.88,3779.88
2018-04-29,3718.23,3640.66
2018-05-06,3691.81,3631.29
2018-05-13,3694.25,3615.01
2018-05-20,3667.34,3594.58
2018-05-27,3710.47,3692.16
2018-06-03,3739.33,3688.43
2018-06-17,3688.43,3612.26
2018-06-24,3625.05,3547.05
2018-07-01,3591.47,3541.94
2018-07-08,3670.37,3630.85
2018-07-15,3670.37,3627.79
2018-07-22,3671.62,3645.34
2018-07-29,3683.57,3654.06
2018-08-05,3705.91,3695.97
2018-08-12,3622.65,3580.07
2018-08-19,3651.98,3626.86
2018-08-26,3671.29,3639.08
2018-09-02,3617.38,3508.01
2018-09-09,3591.68,3539.13
2018-09-16,3608.87,3555.22
2018-09-23,3620.44,3577.99
2018-09-30,3620.23,3539.75
2018-10-07,3545.51,3506.16
2018-10-14,3567.53,3509.77
2018-10-21,3547.62,3520.24
2018-10-28,3609.91,3536.68
2018-11-04,3658.43,3622.62
2018-11-11,3655.37,3581.18
2018-11-18,3650.21,3627.54
2018-11-25,3694.35,3650.09
2018-12-02,3709.07,3677.45
2018-12-09,3688.16,3649.39
2018-12-16,3701.81,3662.07
2018-12-23,3700.92,3683.62
2018-12-30,3721.5,3694.87
2019-01-06,3745.98,3725.46
2019-01-13,3760.07,3734.59
2019-01-20,3765.96,3750.86
2019-01-27,3809.01,3754.89
2019-02-03,3816.97,3807.01
2019-02-10,3804.67,3772.49
2019-02-17,3818.31,3809.02
2019-02-24,3838.71,3810.98
2019-03-03,3824.63,3786.68
2019-03-10,3829.33,3790.68
2019-03-17,3855.39,3797.4
2019-03-24,3831.93,3805.18
2019-03-31,3854.63,3832.45
2019-04-07,3851.06,3821.13
2019-04-14,3872.6,3834.92
2019-04-21,3854.56,3827.51
2019-04-28,3851.02,3820.82
2019-05-05,3803.39,3772.13
2019-05-12,3761.91,3669.3
2019-05-19,3740.47,3685.21
2019-05-26,3790.63,3730.7
2019-06-09,3847.7,3833.52
2019-06-16,3902.9,3826.39
2019-06-23,3914.68,3878.88
2019-06-30,3929.99,3920.03
2019-07-07,3947.5,3919.6
2019-07-14,3967.25,3950.83
2019-07-21,3963.33,3943.67
2019-07-28,3955.39,3912.94
2019-08-04,3911.16,3827.0
2019-08-11,3902.26,3882.17
2019-08-18,3912.12,3901.39
2019-08-25,3916.94,3897.61
2019-09-01,3907.53,3888.55
2019-09-08,3921.18,3907.05
2019-09-15,3909.03,3888.37
2019-09-22,3893.92,3863.98
2019-09-29,3890.31,3858.02
2019-10-06,3876.31,3860.53
2019-10-13,3909.49,3887.34
2019-10-20,3962.96,3917.11
2019-10-27,3963.73,3947.48
2019-11-03,3970.34,3936.7
2019-11-10,3941.56,3920.3
2019-11-17,3946.75,3928.93
2019-11-24,3919.76,3885.97
2019-12-01,3922.96,3896.71
2019-12-08,3922.18,3906.38
2019-12-15,3955.64,3917.46
2019-12-22,3979.04,3970.98
2019-12-29,3992.91,3975.35
2020-01-05,4013.11,3974.24
2020-01-12,4032.02,4019.07
2020-01-19,4042.56,4018.43
2020-01-26,4012.22,3954.06
2020-02-02,3999.12,3937.99
2020-02-09,3991.45,3984.74
2020-02-16,3997.84,3977.72
2020-02-23,3956.82,3833.99
2020-03-01,3943.53,3784.9
2020-03-08,3881.24,3631.54
2020-03-15,3553.76,3242.51
2020-03-22,3401.55,3122.76
2020-03-29,3402.05,3347.48
2020-04-05,3468.34,3396.4
2020-04-12,3438.59,3358.15
2020-04-19,3444.56,3402.65
2020-04-26,3419.0,3407.66
2020-05-03,3443.28,3429.21
2020-05-10,3450.25,3419.91
2020-05-17,3445.53,3429.98
2020-05-24,3555.95,3476.86
2020-05-31,3664.48,3609.96
2020-06-07,3704.59,3619.8
2020-06-14,3668.01,3598.15
2020-06-21,3667.1,3634.27
2020-06-28,3666.05,3640.27
2020-07-05,3720.02,3674.09
2020-07-12,3731.9,3715.55
2020-07-19,3772.76,3711.42
2020-07-26,3792.37,3771.48
2020-08-02,3813.49,3734.88
2020-08-09,3842.85,3799.81
2020-08-16,3865.69,3860.33
2020-08-23,3887.31,3887.31
2020-08-30,3878.06,3834.08
2020-09-06,3845.38,3690.63
2020-09-13,3770.69,3727.65
2020-09-20,3710.82,3649.37
2020-09-27,3697.22,3648.85
2020-10-04,3742.54,3694.77
2020-10-11,3799.27,3762.18
2020-10-18,3800.71,3792.01
2020-10-25,3806.32,3794.74
2020-11-01,3902.77,3769.47
2020-11-08,3988.5,3926.75
2020-11-15,4034.24,3984.42
2020-11-22,4115.58,4054.23
2020-11-29,4135.32,4029.71
2020-12-06,4178.43,4154.77
2020-12-13,4286.41,4207.07
