"Date","Price","Open","High","Low","Change %"
"Dec 11, 2022","1,713.370","1,712.612","1,713.370","1,712.612","0.08%"
"Dec 04, 2022","1,712.027","1,711.240","1,712.027","1,711.240","0.08%"
"Nov 27, 2022","1,710.659","1,709.877","1,710.659","1,709.877","0.08%"
"Nov 20, 2022","1,709.353","1,708.646","1,709.353","1,708.646","0.07%"
"Nov 13, 2022","1,708.118","1,707.413","1,708.118","1,707.413","0.07%"
"Nov 06, 2022","1,706.886","1,706.175","1,706.886","1,706.175","0.07%"
"Oct 30, 2022","1,705.642","1,704.935","1,705.642","1,704.935","0.07%"
"Oct 23, 2022","1,704.408","1,703.746","1,704.408","1,703.746","0.07%"
"Oct 16, 2022","1,703.218","1,702.517","1,703.218","1,702.517","0.07%"
"Oct 09, 2022","1,701.999","1,701.307","1,701.999","1,701.307","0.07%"
"Oct 02, 2022","1,700.783","1,700.076","1,700.783","1,700.076","0.07%"
"Sep 25, 2022","1,699.548","1,698.875","1,699.548","1,698.875","0.07%"
"Sep 18, 2022","1,698.391","1,697.693","1,698.391","1,697.693","0.07%"
"Sep 11, 2022","1,697.167","1,696.468","1,697.167","1,696.468","0.07%"
"Sep 04, 2022","1,695.965","1,695.264","1,695.965","1,695.264","0.07%"
"Aug 28, 2022","1,694.742","1,694.014","1,694.742","1,694.014","0.07%"
"Aug 21, 2022","1,693.489","1,692.793","1,693.489","1,692.793","0.07%"
"Aug 14, 2022","1,692.305","1,691.547","1,692.305","1,691.547","0.07%"
"Aug 07, 2022","1,691.038","1,690.348","1,691.038","1,690.348","0.07%"
"Jul 31, 2022","1,689.815","1,689.139","1,689.815","1,689.139","0.07%"
"Jul 24, 2022","1,688.649","1,687.943","1,688.649","1,687.943","0.07%"
"Jul 17, 2022","1,687.426","1,686.717","1,687.426","1,686.717","0.07%"
"Jul 10, 2022","1,686.194","1,685.486","1,686.194","1,685.486","0.07%"
"Jul 03, 2022","1,684.965","1,684.242","1,684.965","1,684.242","0.07%"
"Jun 26, 2022","1,683.712","1,683.008","1,683.712","1,683.008","0.07%"
"Jun 19, 2022","1,682.490","1,681.783","1,682.490","1,681.783","0.07%"
"Jun 12, 2022","1,681.252","1,680.544","1,681.252","1,680.544","0.07%"
"Jun 05, 2022","1,680.038","1,679.153","1,680.038","1,679.153","0.08%"
"May 29, 2022","1,678.626","1,678.089","1,678.626","1,678.089","0.06%"
"May 22, 2022","1,677.561","1,676.853","1,677.561","1,676.853","0.07%"
"May 15, 2022","1,676.315","1,675.777","1,676.315","1,675.777","0.07%"
"May 08, 2022","1,675.066","1,674.418","1,675.066","1,674.418","0.15%"
"Apr 24, 2022","1,672.556","1,672.045","1,672.556","1,672.045","0.06%"
"Apr 17, 2022","1,671.526","1,670.820","1,671.526","1,670.820","0.09%"
"Apr 10, 2022","1,670.090","1,669.560","1,670.090","1,669.560","0.06%"
"Apr 03, 2022","1,669.022","1,668.322","1,669.022","1,668.322","0.07%"
"Mar 27, 2022","1,667.773","1,667.182","1,667.773","1,667.182","0.07%"
"Mar 20, 2022","1,666.635","1,665.917","1,666.635","1,665.917","0.08%"
"Mar 13, 2022","1,665.351","1,664.625","1,665.351","1,664.625","0.08%"
"Mar 06, 2022","1,664.093","1,663.371","1,664.093","1,663.371","0.10%"
"Feb 27, 2022","1,662.449","1,662.269","1,662.449","1,662.269","0.06%"
"Feb 20, 2022","1,661.474","1,660.791","1,661.474","1,660.791","0.07%"
"Feb 13, 2022","1,660.279","1,659.544","1,660.279","1,659.544","0.08%"
"Feb 06, 2022","1,659.023","1,658.317","1,659.023","1,658.317","0.07%"
"Jan 30, 2022","1,657.799","1,657.051","1,657.799","1,657.051","0.08%"
"Jan 23, 2022","1,656.544","1,655.837","1,656.544","1,655.837","0.08%"
"Jan 16, 2022","1,655.256","1,654.540","1,655.256","1,654.540","0.07%"
"Jan 09, 2022","1,654.031","1,653.243","1,654.031","1,653.243","0.08%"
"Jan 02, 2022","1,652.676","1,651.865","1,652.676","1,651.865","0.09%"
"Dec 26, 2021","1,651.201","1,650.650","1,651.201","1,650.650","0.07%"
"Dec 19, 2021","1,650.109","1,649.392","1,650.109","1,649.392","0.08%"
"Dec 12, 2021","1,648.853","1,648.129","1,648.853","1,648.129","0.08%"
"Dec 05, 2021","1,647.573","1,646.856","1,647.573","1,646.856","0.08%"
"Nov 28, 2021","1,646.303","1,645.594","1,646.303","1,645.594","0.07%"
"Nov 21, 2021","1,645.071","1,644.371","1,645.071","1,644.371","0.07%"
"Nov 14, 2021","1,643.849","1,643.182","1,643.849","1,643.182","0.07%"
"Nov 07, 2021","1,642.640","1,642.121","1,642.640","1,642.121","0.06%"
"Oct 31, 2021","1,641.615","1,640.886","1,641.615","1,640.886","0.07%"
"Oct 24, 2021","1,640.429","1,639.698","1,640.429","1,639.698","0.08%"
"Oct 17, 2021","1,639.141","1,638.407","1,639.141","1,638.407","0.08%"
"Oct 10, 2021","1,637.842","1,637.082","1,637.842","1,637.082","0.08%"
"Oct 03, 2021","1,636.546","1,635.816","1,636.546","1,635.816","0.08%"
"Sep 26, 2021","1,635.255","1,634.492","1,635.255","1,634.492","0.08%"
"Sep 19, 2021","1,633.925","1,633.157","1,633.925","1,633.157","0.08%"
"Sep 12, 2021","1,632.574","1,631.802","1,632.574","1,631.802","0.08%"
"Sep 05, 2021","1,631.253","1,630.553","1,631.253","1,630.553","0.08%"
"Aug 29, 2021","1,629.980","1,629.311","1,629.980","1,629.311","0.08%"
"Aug 22, 2021","1,628.739","1,627.978","1,628.739","1,627.978","0.08%"
