"Date","Price","Open","High","Low","Change %"
"Dec 11, 2022","1,546.990","1,541.710","1,546.990","1,541.710","0.38%"
"Dec 04, 2022","1,541.140","1,543.320","1,543.320","1,539.380","-0.23%"
"Nov 27, 2022","1,544.760","1,531.230","1,544.760","1,531.230","1.05%"
"Nov 20, 2022","1,528.710","1,517.840","1,528.710","1,517.840","0.67%"
"Nov 13, 2022","1,518.520","1,513.310","1,518.580","1,513.310","0.80%"
"Nov 06, 2022","1,506.460","1,496.440","1,506.460","1,496.440","0.70%"
"Oct 30, 2022","1,495.920","1,492.720","1,499.760","1,492.720","0.28%"
"Oct 23, 2022","1,491.780","1,491.230","1,491.780","1,487.730","0.08%"
"Oct 16, 2022","1,490.600","1,499.640","1,500.020","1,490.600","-0.87%"
"Oct 09, 2022","1,503.720","1,505.300","1,505.300","1,503.380","-0.17%"
"Oct 02, 2022","1,506.240","1,499.890","1,508.720","1,499.890","0.58%"
"Sep 25, 2022","1,497.570","1,501.710","1,501.710","1,497.570","-0.53%"
"Sep 18, 2022","1,505.590","1,512.110","1,513.510","1,505.590","-0.42%"
"Sep 11, 2022","1,511.910","1,517.960","1,519.050","1,511.910","-0.24%"
"Sep 04, 2022","1,515.590","1,516.940","1,516.940","1,511.490","-0.15%"
"Aug 28, 2022","1,517.940","1,518.010","1,520.400","1,517.940","-0.19%"
"Aug 21, 2022","1,520.780","1,519.380","1,521.090","1,516.940","0.03%"
"Aug 14, 2022","1,520.300","1,522.280","1,522.280","1,520.300","-0.24%"
"Aug 07, 2022","1,523.930","1,511.090","1,523.930","1,511.090","0.84%"
"Jul 31, 2022","1,511.250","1,508.870","1,511.250","1,505.180","0.25%"
"Jul 24, 2022","1,507.510","1,486.240","1,507.510","1,486.240","1.57%"
"Jul 17, 2022","1,484.270","1,490.540","1,490.540","1,483.940","-0.49%"
"Jul 10, 2022","1,491.590","1,495.230","1,498.530","1,491.590","-0.23%"
"Jul 03, 2022","1,494.990","1,495.390","1,496.820","1,493.270","0.02%"
"Jun 26, 2022","1,494.690","1,516.210","1,522.760","1,494.690","-1.13%"
"Jun 19, 2022","1,511.810","1,503.080","1,511.810","1,501.650","0.61%"
"Jun 12, 2022","1,502.620","1,520.870","1,520.870","1,500.350","-1.39%"
"Jun 05, 2022","1,523.870","1,535.670","1,535.670","1,523.870","-0.73%"
"May 29, 2022","1,535.030","1,524.770","1,535.030","1,524.370","1.08%"
"May 22, 2022","1,518.670","1,502.150","1,518.670","1,502.150","1.36%"
"May 15, 2022","1,498.260","1,486.560","1,498.260","1,486.560","0.83%"
"May 08, 2022","1,485.920","1,514.570","1,514.570","1,484.150","-2.90%"
"Apr 24, 2022","1,530.280","1,531.050","1,531.710","1,530.280","-0.19%"
"Apr 17, 2022","1,533.170","1,539.580","1,539.580","1,533.170","-0.39%"
"Apr 10, 2022","1,539.180","1,543.600","1,543.600","1,539.180","-0.59%"
"Apr 03, 2022","1,548.370","1,546.000","1,548.370","1,546.000","0.20%"
"Mar 27, 2022","1,545.340","1,547.400","1,547.400","1,543.400","-0.20%"
"Mar 20, 2022","1,548.400","1,546.830","1,548.400","1,545.460","0.23%"
