Date,High,Low
2017-01-01,2211.53,2211.53
2017-01-08,2228.99,2228.99
2017-01-15,2225.35,2225.35
2017-01-22,2218.41,2218.41
2017-01-29,2218.01,2218.01
2017-02-05,2233.53,2233.53
2017-02-12,2235.62,2235.62
2017-02-19,2235.28,2235.28
2017-02-26,2243.4,2243.4
2017-03-05,2247.33,2247.33
2017-03-12,2275.78,2275.78
2017-03-19,2289.84,2289.84
2017-03-26,2302.016,2302.016
2017-04-02,2296.64,2296.64
2017-04-09,2306.86,2306.86
2017-04-16,2302.4,2302.4
2017-04-23,2311.82,2311.82
2017-04-30,2306.43,2306.43
2017-05-07,2297.72,2297.72
2017-05-14,2322.73,2322.73
2017-05-21,2331.2,2331.2
2017-05-28,2332.51,2332.51
2017-06-04,2339.95,2339.95
2017-06-11,2347.64,2347.64
2017-06-18,2348.72,2348.72
2017-07-02,2303.31,2303.31
2017-07-09,2341.09,2341.09
2017-07-16,2362.17,2362.17
2017-07-23,2355.26,2355.26
2017-07-30,2363.69,2363.69
2017-08-06,2368.98,2368.98
2017-08-13,2377.08,2377.08
2017-08-20,2391.47,2391.47
2017-08-27,2414.58,2414.58
2017-09-03,2441.12,2441.12
2017-09-10,2426.77,2426.77
2017-09-17,2440.73,2440.73
2017-09-24,2441.44,2441.44
2017-10-01,2428.58,2428.58
2017-10-08,2431.22,2431.22
2017-10-15,2428.49,2428.49
2017-10-22,2410.93,2410.93
2017-10-29,2436.47,2436.47
2017-11-05,2438.7,2438.7
2017-11-12,2442.04,2442.04
2017-11-19,2449.36,2449.36
2017-11-26,2457.3,2457.3
2017-12-03,2458.05,2458.05
2017-12-10,2462.57,2462.57
2017-12-17,2474.17,2474.17
2017-12-24,2486.46,2486.46
2017-12-31,2510.26,2510.26
2018-01-07,2510.84,2510.84
2018-01-14,2516.28,2516.28
2018-01-21,2505.83,2505.83
2018-01-28,2505.6,2505.6
2018-02-04,2493.9,2493.9
2018-02-11,2484.83,2484.83
2018-02-18,2472.4,2472.4
2018-02-25,2466.15,2466.15
2018-03-04,2452.22,2452.22
2018-03-11,2467.17,2467.17
2018-03-18,2458.92,2458.92
2018-03-25,2477.11,2477.11
2018-04-01,2484.52,2484.52
2018-04-08,2490.15,2490.15
2018-04-15,2474.84,2474.84
2018-04-22,2454.13,2454.13
2018-04-29,2457.38,2457.38
2018-05-06,2428.27,2428.27
2018-05-13,2406.33,2406.33
2018-05-20,2400.12,2400.12
2018-05-27,2446.85,2446.85
2018-06-03,2429.38,2429.38
2018-06-17,2397.48,2397.48
2018-06-24,2364.28,2364.28
2018-07-01,2381.16,2381.16
2018-07-08,2402.63,2402.63
2018-07-15,2377.14,2377.14
2018-07-22,2384.37,2384.37
2018-07-29,2384.98,2384.98
2018-08-05,2409.81,2409.81
2018-08-12,2375.89,2375.89
2018-08-19,2384.92,2384.92
2018-08-26,2364.17,2364.17
2018-09-02,2315.08,2315.08
2018-09-09,2315.64,2315.64
2018-09-16,2355.33,2355.33
2018-09-23,2366.98,2366.98
2018-09-30,2352.64,2352.64
2018-10-07,2314.16,2314.16
2018-10-14,2319.9,2319.9
2018-10-21,2323.74,2323.74
2018-10-28,2357.04,2357.04
2018-11-04,2392.26,2392.26
2018-11-11,2396.97,2396.97
2018-11-18,2410.83,2410.83
2018-11-25,2432.11,2432.11
2018-12-02,2417.37,2417.37
2018-12-09,2404.18,2404.18
2018-12-16,2422.2,2422.2
2018-12-23,2425.4,2425.4
2018-12-30,2421.78,2421.78
2019-01-06,2428.02,2428.02
2019-01-13,2414.75,2414.75
2019-01-20,2422.19,2422.19
2019-01-27,2449.94,2449.94
2019-02-03,2469.69,2469.69
2019-02-10,2448.18,2448.18
2019-02-17,2464.73,2464.73
2019-02-24,2476.83,2476.83
2019-03-03,2463.61,2463.61
