Date,High,Low
2017-07-09,1474.79,1456.55
2017-07-16,1474.06,1455.55
2017-07-23,1473.86,1464.82
2017-07-30,1478.35,1456.27
2017-08-06,1476.86,1451.72
2017-08-13,1488.38,1469.83
2017-08-20,1494.53,1477.92
2017-08-27,1490.49,1485.71
2017-09-03,1486.81,1470.51
2017-09-10,1488.54,1474.17
2017-09-17,1491.92,1485.34
2017-09-24,1485.6,1468.97
2017-10-01,1505.4,1489.8
2017-10-08,1503.77,1493.15
2017-10-15,1508.68,1498.7
2017-10-22,1522.85,1499.33
2017-10-29,1531.0,1502.75
2017-11-05,1538.0,1521.48
2017-11-12,1529.22,1504.61
2017-11-19,1528.82,1517.38
2017-11-26,1535.96,1504.79
2017-12-03,1530.44,1521.42
2017-12-10,1547.59,1529.75
2017-12-17,1573.58,1537.57
2017-12-24,1607.43,1589.34
2017-12-31,1606.21,1568.15
2018-01-07,1625.07,1620.89
2018-01-14,1654.1,1632.54
2018-01-21,1715.7,1662.74
2018-01-28,1726.27,1691.87
2018-02-04,1699.21,1676.92
2018-02-11,1697.34,1678.35
2018-02-18,1719.01,1687.14
2018-02-25,1689.77,1675.06
2018-03-04,1686.84,1619.3
2018-03-11,1621.3,1601.6
2018-03-18,1606.56,1580.28
2018-03-25,1579.54,1561.47
2018-04-01,1591.58,1570.09
2018-04-08,1599.92,1599.92
2018-04-15,1620.38,1604.81
2018-04-22,1590.82,1590.82
2018-04-29,1549.18,1461.87
2018-05-06,1518.67,1457.02
2018-05-13,1518.47,1475.09
2018-05-20,1535.9,1464.38
2018-05-27,1560.42,1531.07
2018-06-03,1568.57,1534.09
2018-06-17,1496.84,1472.93
2018-06-24,1484.98,1428.23
2018-07-01,1450.9,1421.77
2018-07-08,1486.45,1463.69
2018-07-15,1486.45,1465.4
2018-07-22,1510.26,1488.9
2018-07-29,1520.63,1489.56
2018-08-05,1535.48,1519.41
2018-08-12,1462.52,1433.46
2018-08-19,1497.38,1465.6
2018-08-26,1516.89,1503.19
2018-09-02,1489.05,1416.4
2018-09-09,1482.73,1447.06
2018-09-16,1481.69,1445.17
2018-09-23,1490.34,1454.64
2018-09-30,1479.37,1417.95
2018-10-07,1438.5,1410.69
2018-10-14,1460.64,1422.2
2018-10-21,1449.86,1415.97
2018-10-28,1483.01,1431.16
2018-11-04,1507.61,1475.93
2018-11-11,1512.32,1436.95
2018-11-18,1511.12,1488.3
2018-11-25,1541.26,1501.86
2018-12-02,1550.86,1532.86
2018-12-09,1551.54,1526.49
2018-12-16,1554.96,1530.16
2018-12-23,1544.84,1532.73
2018-12-30,1566.68,1540.01
2019-01-06,1590.57,1563.59
2019-01-13,1606.19,1578.69
2019-01-20,1613.68,1605.31
2019-01-27,1624.7,1592.78
2019-02-03,1616.07,1599.57
2019-02-10,1598.99,1569.88
2019-02-17,1610.91,1595.53
2019-02-24,1605.54,1576.82
2019-03-03,1596.55,1562.86
2019-03-10,1584.94,1560.81
2019-03-17,1599.26,1588.88
2019-03-24,1584.19,1557.21
2019-03-31,1608.16,1585.7
2019-04-07,1599.66,1581.03
2019-04-14,1616.28,1588.34
2019-04-21,1601.62,1574.66
2019-04-28,1595.61,1563.53
2019-05-05,1560.19,1533.5
2019-05-12,1516.87,1440.01
