Date,High,Low
2017-07-09,37982.359,37591.031
2017-07-16,37929.328,37354.09
2017-07-23,37698.961,37508.059
2017-07-30,37448.352,36890.941
2017-08-06,37428.41,36793.531
2017-08-13,37866.551,37303.289
2017-08-20,38121.359,37655.852
2017-08-27,38032.391,37773.629
2017-09-03,37706.82,37394.23
2017-09-10,37779.07,37587.148
2017-09-17,37882.801,37745.121
2017-09-24,37833.379,37452.719
2017-10-01,38344.609,37969.148
2017-10-08,38243.078,37986.609
2017-10-15,38364.828,37879.988
2017-10-22,38550.129,38038.711
2017-10-29,38588.52,38013.34
2017-11-05,38654.871,38350.359
2017-11-12,38687.32,38012.988
2017-11-19,38661.922,38443.48
2017-11-26,38929.988,38124.281
2017-12-03,38835.129,38563.32
2017-12-10,39345.77,38756.48
2017-12-17,39949.5,39027.281
2017-12-24,40422.02,40283.949
2017-12-31,40386.121,39582.738
2018-01-07,40816.48,40604.84
2018-01-14,41264.211,40855.5
2018-01-21,42434.359,41326.879
2018-01-28,42323.988,41544.609
2018-02-04,41769.531,41286.309
2018-02-11,41920.711,41463.621
2018-02-18,42403.961,41946.441
2018-02-25,41713.238,41371.738
2018-03-04,41230.84,40194.629
2018-03-11,40491.102,39916.73
2018-03-18,40172.602,39610.191
2018-03-25,39510.551,39162.219
2018-04-01,39931.949,39332.84
2018-04-08,40069.809,40069.809
2018-04-15,40460.691,40198.121
2018-04-22,40262.441,39845.371
2018-04-29,38770.82,37291.141
2018-05-06,38545.078,37355.73
2018-05-13,38527.281,37300.762
2018-05-20,38511.352,37027.449
2018-05-27,39124.852,38403.871
2018-06-03,39385.102,38519.191
2018-06-17,37815.18,37300.75
2018-06-24,37546.672,36493.859
2018-07-01,37153.648,36353.871
2018-07-08,38209.609,37501.102
2018-07-15,38209.609,37625.539
2018-07-22,38593.461,38108.379
2018-07-29,38888.961,38247.699
2018-08-05,39273.02,39041.359
2018-08-12,37584.391,36826.762
2018-08-19,38109.57,37622.82
2018-08-26,38557.539,38174.801
2018-09-02,37850.719,36084.988
2018-09-09,37771.52,36844.059
2018-09-16,37727.41,36955.578
2018-09-23,37830.801,37119.559
2018-09-30,37670.961,36333.629
2018-10-07,36735.18,36062.66
2018-10-14,37315.461,36359.578
2018-10-21,36921.871,36220.539
2018-10-28,37841.941,36671.289
2018-11-04,38253.02,37490.738
2018-11-11,38194.469,36661.609
2018-11-18,38019.699,37531.449
2018-11-25,38717.109,37783.59
2018-12-02,38950.191,38479.121
2018-12-09,38880.301,38267.809
2018-12-16,38927.762,38353.52
2018-12-23,38875.121,38528.641
2018-12-30,39318.852,38743.211
2019-01-06,39855.16,39263.07
2019-01-13,40220.789,39555.531
2019-01-20,40220.0,39933.27
2019-01-27,40617.25,39853.281
2019-02-03,40407.719,40073.398
2019-02-10,40341.141,39737.629
2019-02-17,40578.172,40388.461
2019-02-24,40737.16,40048.57
2019-03-03,40379.148,39665.18
2019-03-10,40200.738,39710.359
2019-03-17,40477.488,40321.949
2019-03-24,39962.961,39401.371
2019-03-31,40334.43,39933.281
2019-04-07,40291.469,39746.949
2019-04-14,40632.73,39971.441
2019-04-21,40337.461,39854.219
2019-04-28,40530.031,39858.5
2019-05-05,39766.859,39202.738
2019-05-12,38839.371,36790.09
2019-05-19,38156.23,37228.379
2019-05-26,39246.578,37923.039
2019-06-09,39995.23,39663.109
2019-06-16,40454.199,39305.629
2019-06-23,40265.691,39786.141
2019-06-30,40427.48,40175.34
2019-07-07,40395.871,39978.219
2019-07-14,40462.719,40309.039
2019-07-21,40582.77,40090.48
2019-07-28,40480.16,40013.512
2019-08-04,39728.691,38762.328
