Date,High,Low
2017-01-01,29982.369,29982.369
2017-01-08,29528.539,29528.539
2017-01-15,29371.279,29371.279
2017-01-22,29577.289,29577.289
2017-01-29,29760.34,29760.34
2017-02-05,29811.561,29811.561
2017-02-12,29657.02,29657.02
2017-02-19,29875.51,29875.51
2017-02-26,29932.51,29932.51
2017-03-05,30000.279,30000.279
2017-03-12,30691.66,30691.66
2017-03-19,30862.98,30862.98
2017-03-26,30709.58,30709.58
2017-04-02,31025.211,31025.211
2017-04-09,30821.65,30821.65
2017-04-16,31242.641,31242.641
2017-04-23,31263.359,31263.359
2017-04-30,31446.949,31446.949
2017-05-07,31476.76,31476.76
2017-05-14,32114.811,32114.811
2017-05-21,31616.539,31616.539
2017-05-28,31782.74,31782.74
2017-06-04,31361.92,31361.92
2017-06-11,31977.73,31977.73
2017-06-18,32282.74,32282.74
2017-07-02,32475.711,32097.83
2017-07-09,32196.49,31862.189
2017-07-16,32169.211,31667.381
2017-07-23,31969.41,31802.0
2017-07-30,31731.1,31260.699
2017-08-06,31658.039,31187.68
2017-08-13,32034.641,31526.51
2017-08-20,32223.141,31834.41
2017-08-27,32156.74,31924.74
2017-09-03,31919.09,31684.83
2017-09-10,31967.27,31850.83
2017-09-17,32094.529,31977.891
2017-09-24,32053.75,31755.15
2017-10-01,32492.48,32184.689
2017-10-08,32416.869,32179.289
2017-10-15,32511.07,32107.68
2017-10-22,32644.59,32263.471
2017-10-29,32675.789,32197.17
2017-11-05,32751.07,32529.859
2017-11-12,32849.059,32277.439
2017-11-19,32886.289,32701.439
2017-11-26,33134.031,32325.301
2017-12-03,32988.66,32719.92
2017-12-10,33394.93,32952.102
2017-12-17,33895.43,33132.961
2017-12-24,34215.711,34166.91
2017-12-31,34286.461,33617.98
2018-01-07,34577.578,34403.738
2018-01-14,34870.211,34562.762
2018-01-21,35858.859,34911.609
2018-01-28,35591.699,34976.039
2018-02-04,35271.988,34875.172
2018-02-11,35406.461,35037.488
2018-02-18,35767.691,35203.84
2018-02-25,35192.672,34924.762
2018-03-04,34837.059,33953.328
2018-03-11,34175.828,33740.09
2018-03-18,33891.77,33448.789
2018-03-25,33394.57,33108.5
2018-04-01,33738.301,33259.301
2018-04-08,33768.422,33768.422
2018-04-15,34081.059,33886.93
2018-04-22,33544.641,33544.641
2018-04-29,32628.5,31407.32
2018-05-06,32470.301,31520.91
2018-05-13,32453.07,31301.529
2018-05-20,32467.711,31014.73
2018-05-27,33022.352,32348.529
2018-06-03,33089.25,32321.76
2018-06-17,32321.76,31277.711
2018-06-24,31468.311,30586.721
2018-07-01,31273.551,30543.43
2018-07-08,32142.82,31526.551
2018-07-15,32142.82,31667.77
2018-07-22,32417.561,32029.75
2018-07-29,32657.529,32128.24
2018-08-05,33112.621,32807.59
2018-08-12,31610.08,31008.85
2018-08-19,32076.811,31673.689
2018-08-26,32490.439,32146.07
2018-09-02,31871.551,30411.24
2018-09-09,31850.381,31058.609
2018-09-16,31798.051,31103.721
2018-09-23,31873.48,31259.35
2018-09-30,31750.881,30640.65
2018-10-07,30966.609,30427.34
2018-10-14,31483.25,30710.301
2018-10-21,31147.93,30543.641
2018-10-28,32039.75,30970.141
2018-11-04,32373.801,31672.24
2018-11-11,32245.109,30899.221
2018-11-18,32094.051,31644.85
2018-11-25,32620.23,31861.711
2018-12-02,32811.09,32447.01
2018-12-09,32779.59,32271.75
2018-12-16,32775.809,32358.199
2018-12-23,32731.74,32478.811
2018-12-30,33125.789,32621.119
2019-01-06,33370.84,32876.699
2019-01-13,33624.422,33090.781
2019-01-20,33534.16,33214.23
2019-01-27,33727.25,33054.0
2019-02-03,33727.25,33489.941
2019-02-10,33434.699,32775.051
2019-02-17,33494.09,33349.66
2019-02-24,33682.539,33061.051
2019-03-03,33391.852,32844.172
2019-03-10,33255.961,32919.852
2019-03-17,33601.648,32891.762
2019-03-24,33284.602,32829.672
2019-03-31,33487.09,33215.809
2019-04-07,33516.398,33098.012
2019-04-14,33719.34,33274.879
2019-04-21,33517.738,33180.961
2019-04-28,33729.969,33319.98
2019-05-05,33314.82,32885.828
2019-05-12,32655.0,31080.98
2019-05-19,32232.24,31457.17
2019-05-26,33119.461,32034.039
2019-06-09,33677.398,33426.699
2019-06-16,34032.82,33179.941
2019-06-23,33864.34,33490.828
2019-06-30,33981.961,33820.66
2019-07-07,33968.93,33615.039
2019-07-14,33822.199,33546.801
2019-07-21,33803.879,33306.27
2019-07-28,33690.16,33142.449
2019-08-04,32820.359,32136.35
2019-08-11,32628.211,32347.939
2019-08-18,32586.24,32292.01
2019-08-25,32727.25,32215.221
2019-09-01,32398.68,32125.131
2019-09-08,32824.57,32523.76
2019-09-15,32034.029,31792.779
2019-09-22,31725.01,31286.08
2019-09-29,31463.801,30790.24
2019-10-06,30886.439,30575.789
2019-10-13,31183.91,30995.051
2019-10-20,31898.83,31232.59
2019-10-27,31676.51,31188.279
2019-11-03,31606.51,30912.41
2019-11-10,31265.41,30878.061
2019-11-17,31257.801,30979.391
2019-11-24,30830.85,30241.17
2019-12-01,31068.41,30714.471
2019-12-08,31072.779,30802.57
2019-12-15,31477.721,31198.029
2019-12-22,31664.67,31601.52
2019-12-29,31640.84,31480.119
2020-01-05,31771.211,31389.32
2020-01-12,32118.48,31786.061
2020-01-19,31628.15,31532.34
2020-01-26,31109.641,30198.461
