Date,High,Low
2019-07-07,1474.101,1472.998
2019-07-14,1475.396,1474.29
2019-07-21,1476.718,1475.577
2019-07-28,1477.997,1476.913
2019-08-04,1479.402,1478.203
2019-08-11,1480.787,1479.598
2019-08-18,1482.192,1480.98
2019-08-25,1483.605,1482.393
2019-09-01,1484.813,1483.808
2019-09-08,1486.217,1485.015
2019-09-15,1487.606,1486.417
2019-09-22,1489.01,1487.808
2019-09-29,1490.422,1489.212
2019-10-06,1491.82,1490.613
2019-10-13,1493.051,1492.025
2019-10-20,1494.689,1493.444
2019-10-27,1495.969,1493.243
2019-11-03,1497.391,1496.172
2019-11-10,1498.801,1497.599
2019-11-17,1500.032,1499.006
2019-11-24,1501.339,1500.233
2019-12-01,1502.571,1501.542
2019-12-08,1504.171,1502.978
2019-12-15,1505.18,1504.991
2019-12-22,1505.475,1505.19
2019-12-29,1505.778,1505.514
2020-01-05,1506.593,1506.593
2020-01-12,1508.576,1507.198
2020-01-19,1509.89,1508.77
2020-01-26,1511.058,1510.055
2020-02-02,1512.076,1511.073
2020-02-09,1513.411,1512.263
2020-02-16,1514.746,1513.604
2020-02-23,1515.982,1514.934
2020-03-01,1517.197,1516.139
2020-03-08,1518.311,1517.358
2020-03-15,1519.345,1518.446
2020-03-22,1520.526,1519.526
2020-03-29,1521.338,1520.713
2020-04-05,1522.509,1521.5
2020-04-12,1523.906,1522.692
2020-04-19,1525.11,1524.083
2020-04-26,1525.806,1525.269
2020-05-03,1527.176,1526.161
2020-05-10,1528.566,1527.516
2020-05-17,1529.481,1528.755
2020-05-24,1531.174,1529.665
2020-05-31,1532.012,1531.348
2020-06-07,1533.689,1532.371
2020-06-14,1535.035,1533.884
2020-06-21,1536.291,1535.215
2020-06-28,1537.567,1536.455
2020-07-05,1539.235,1537.799
2020-07-12,1540.804,1539.466
2020-07-19,1542.424,1541.036
2020-07-26,1543.818,1543.351
2020-08-02,1545.45,1544.052
2020-08-09,1547.125,1545.682
2020-08-16,1548.297,1547.359
2020-08-23,1549.925,1549.691
2020-08-30,1551.555,1550.625
2020-09-06,1553.629,1552.001
2020-09-13,1554.567,1554.567
2020-09-20,1556.819,1555.246
2020-09-27,1558.435,1557.054
2020-10-04,1560.1,1558.669
2020-10-11,1560.334,1560.334
2020-10-18,1561.511,1561.041
2020-11-01,1566.836,1565.911
2020-11-08,1570.314,1567.536
2020-11-15,1570.054,1569.149
2020-11-22,1571.652,1570.754
2020-11-29,1573.31,1572.347
2020-12-06,1574.929,1574.006
2020-12-13,1576.508,1575.611
2020-12-20,1577.625,1577.173
2020-12-27,1579.241,1578.776
2021-01-03,1581.283,1580.344
2021-01-10,1582.884,1581.979
2021-01-17,1584.442,1583.559
2021-01-24,1585.951,1585.11
2021-01-31,1587.412,1586.533
2021-02-07,1588.708,1588.059
2021-02-14,1590.466,1589.591
2021-02-21,1591.685,1591.05
2021-02-28,1593.093,1592.297
2021-03-07,1594.479,1593.688
2021-03-14,1595.91,1595.084
2021-03-21,1597.399,1596.535
2021-03-28,1598.58,1598.052
2021-04-04,1600.31,1599.455
2021-04-11,1601.627,1600.975
2021-04-18,1603.293,1602.452
2021-04-25,1604.679,1603.852
2021-05-02,1606.202,1605.345
2021-05-09,1607.01,1606.805
2021-05-16,1609.18,1608.294
2021-05-23,1610.706,1609.813
2021-05-30,1612.253,1611.326
2021-06-06,1613.807,1612.924
2021-06-13,1615.275,1614.46
2021-06-20,1616.695,1615.88
2021-06-27,1618.047,1617.271
2021-07-04,1619.394,1618.622
2021-07-11,1620.738,1619.971
2021-07-18,1622.092,1621.307
2021-07-25,1623.469,1622.695
2021-08-01,1624.727,1623.956
2021-08-08,1626.076,1625.303
2021-08-15,1627.402,1626.644
2021-08-22,1628.739,1627.978
2021-08-29,1629.98,1629.311
2021-09-05,1631.253,1630.553
2021-09-12,1632.574,1631.802
2021-09-19,1633.925,1633.157
2021-09-26,1635.255,1634.492
2021-10-03,1636.546,1635.816
2021-10-10,1637.842,1637.082
2021-10-17,1639.141,1638.407
2021-10-24,1640.429,1639.698
2021-10-31,1641.615,1640.886
2021-11-07,1642.64,1642.121
2021-11-14,1643.849,1643.182
2021-11-21,1645.071,1644.371
2021-11-28,1646.303,1645.594
2021-12-05,1647.573,1646.856
2021-12-12,1648.853,1648.129
2021-12-19,1650.109,1649.392
2021-12-26,1651.201,1650.65
2022-01-02,1652.676,1651.865
2022-01-09,1654.031,1653.243
2022-01-16,1655.256,1654.54
2022-01-23,1656.544,1655.837
2022-01-30,1657.799,1657.051
2022-02-06,1659.023,1658.317
2022-02-13,1660.279,1659.544
2022-02-20,1661.474,1660.791
2022-02-27,1662.449,1662.269
2022-03-06,1664.093,1663.371
2022-03-13,1665.351,1664.625
2022-03-20,1666.635,1665.917
2022-03-27,1667.773,1667.182
2022-04-03,1669.022,1668.322
2022-04-10,1670.09,1669.56
2022-04-17,1671.526,1670.82
2022-04-24,1672.556,1672.045
2022-05-08,1675.066,1674.418
2022-05-15,1676.315,1675.777
2022-05-22,1677.561,1676.853
2022-05-29,1678.626,1678.089
2022-06-05,1680.038,1679.153
2022-06-12,1681.252,1680.544
2022-06-19,1682.49,1681.783
2022-06-26,1683.712,1683.008
2022-07-03,1684.965,1684.242
2022-07-10,1686.194,1685.486
2022-07-17,1687.426,1686.717
2022-07-24,1688.649,1687.943
2022-07-31,1689.815,1689.139
2022-08-07,1691.038,1690.348
2022-08-14,1692.305,1691.547
2022-08-21,1693.489,1692.793
2022-08-28,1694.742,1694.014
2022-09-04,1695.965,1695.264
2022-09-11,1697.167,1696.468
2022-09-18,1698.391,1697.693
2022-09-25,1699.548,1698.875
2022-10-02,1700.783,1700.076
2022-10-09,1701.999,1701.307
2022-10-16,1703.218,1702.517
2022-10-23,1704.408,1703.746
2022-10-30,1705.642,1704.935
2022-11-06,1706.886,1706.175
2022-11-13,1708.118,1707.413
2022-11-20,1709.353,1708.646
2022-11-27,1710.659,1709.877
2022-12-04,1712.027,1711.24
2022-12-11,1713.37,1712.612
