Date,High,Low
2017-01-01,1189.58,1189.58
2017-01-08,1196.22,1196.22
2017-01-15,1197.45,1197.45
2017-01-22,1195.29,1195.29
2017-01-29,1193.96,1193.96
2017-02-05,1200.52,1200.52
2017-02-12,1201.82,1201.82
2017-02-19,1200.96,1200.96
2017-02-26,1205.4,1205.4
2017-03-05,1207.79,1207.79
2017-03-12,1217.05,1217.05
2017-03-19,1223.53,1223.53
2017-03-26,1230.321,1230.321
2017-04-02,1226.59,1226.59
2017-04-09,1233.9,1233.9
2017-04-16,1232.03,1232.03
2017-04-23,1237.16,1237.16
2017-04-30,1231.99,1231.99
2017-05-07,1226.28,1226.28
2017-05-14,1241.95,1241.95
2017-05-21,1246.29,1246.29
2017-05-28,1247.77,1247.77
2017-06-04,1251.73,1251.73
2017-06-11,1256.02,1256.02
2017-06-18,1256.53,1256.53
2017-06-25,1256.53,1256.53
2017-07-02,1219.67,1219.67
2017-07-09,1247.33,1247.33
2017-07-16,1262.13,1262.13
2017-07-23,1255.7,1255.7
2017-07-30,1260.38,1260.38
2017-08-06,1264.91,1264.91
2017-08-13,1272.53,1272.53
2017-08-20,1281.59,1281.59
2017-08-27,1300.22,1300.22
2017-09-03,1318.23,1318.23
2017-09-10,1307.39,1307.39
2017-09-17,1317.65,1317.65
2017-09-24,1318.19,1318.19
2017-10-01,1306.37,1306.37
2017-10-08,1307.15,1307.15
2017-10-15,1303.91,1303.91
2017-10-22,1291.09,1291.09
2017-10-29,1312.38,1312.38
2017-11-05,1313.67,1313.67
2017-11-12,1314.94,1314.94
2017-11-19,1319.85,1319.85
2017-11-26,1324.75,1324.75
2017-12-03,1323.38,1323.38
2017-12-10,1327.2,1327.2
2017-12-17,1336.58,1336.58
2017-12-24,1343.79,1343.79
2017-12-31,1361.74,1361.74
2018-01-07,1363.98,1363.98
2018-01-14,1365.54,1365.54
2018-01-21,1354.58,1354.58
2018-01-28,1353.69,1353.69
2018-02-04,1341.4,1341.4
2018-02-11,1333.64,1333.64
2018-02-18,1327.33,1327.33
2018-02-25,1323.72,1323.72
2018-03-04,1313.02,1313.02
2018-03-11,1323.56,1323.56
2018-03-18,1318.28,1318.28
2018-03-25,1332.16,1332.16
2018-04-01,1340.18,1340.18
2018-04-08,1343.47,1343.47
2018-04-15,1330.15,1330.15
2018-04-22,1317.96,1317.96
2018-04-29,1320.25,1320.25
2018-05-06,1300.88,1300.88
2018-05-13,1291.95,1291.95
2018-05-20,1286.89,1286.89
2018-05-27,1318.63,1318.63
2018-06-03,1304.25,1304.25
2018-06-17,1285.99,1285.99
2018-06-24,1269.77,1269.77
2018-07-01,1274.62,1274.62
2018-07-08,1285.43,1285.43
2018-07-15,1270.33,1270.33
2018-07-22,1278.59,1278.59
2018-07-29,1277.75,1277.75
2018-08-05,1287.19,1287.19
2018-08-12,1275.03,1275.03
2018-08-19,1278.6,1278.6
2018-08-26,1271.18,1271.18
2018-09-02,1250.8,1250.8
2018-09-09,1255.86,1255.86
2018-09-16,1268.03,1268.03
2018-09-23,1271.73,1271.73
2018-09-30,1266.39,1266.39
2018-10-07,1249.72,1249.72
2018-10-14,1253.62,1253.62
2018-10-21,1257.82,1257.82
2018-10-28,1270.38,1270.38
2018-11-04,1282.99,1282.99
2018-11-11,1286.42,1286.42
2018-11-18,1295.65,1295.65
2018-11-25,1309.37,1309.37
2018-12-02,1297.93,1297.93
2018-12-09,1291.58,1291.58
2018-12-16,1302.6,1302.6
2018-12-23,1305.01,1305.01
2018-12-30,1302.39,1302.39
2019-01-06,1304.79,1304.79
2019-01-13,1295.8,1295.8
2019-01-20,1299.69,1299.69
2019-01-27,1322.37,1322.37
2019-02-03,1333.56,1333.56
2019-02-10,1315.5,1315.5
2019-02-17,1323.24,1323.24
2019-02-24,1330.27,1330.27
2019-03-03,1319.23,1319.23
2019-03-10,1339.0,1339.0
2019-03-17,1357.76,1357.76
2019-03-24,1353.044,1353.044
2019-03-31,1357.87,1357.87
2019-04-07,1348.34,1348.34
2019-04-14,1361.09,1361.09
