Date,High,Low
2017-07-09,1571.7,1555.96
2017-07-16,1571.56,1558.22
2017-07-23,1565.6,1556.12
2017-07-30,1573.12,1561.44
2017-08-06,1589.04,1558.33
2017-08-13,1588.2,1579.33
2017-08-20,1592.41,1579.69
2017-08-27,1584.89,1567.8
2017-09-03,1567.8,1549.43
2017-09-10,1571.22,1548.31
2017-09-17,1574.43,1561.51
2017-09-24,1559.04,1537.38
2017-10-01,1584.65,1559.68
2017-10-08,1586.41,1574.57
2017-10-15,1594.2,1588.06
2017-10-22,1622.31,1592.01
2017-10-29,1619.91,1594.53
2017-11-05,1628.42,1612.57
2017-11-12,1609.41,1590.02
2017-11-19,1598.59,1588.26
2017-11-26,1596.46,1580.17
2017-12-03,1585.22,1568.61
2017-12-10,1608.79,1571.49
2017-12-17,1612.25,1591.44
2017-12-24,1637.32,1625.11
2017-12-31,1651.13,1607.84
2018-01-07,1691.81,1675.91
2018-01-14,1730.54,1701.09
2018-01-21,1804.43,1739.54
2018-01-28,1825.02,1796.2
2018-02-04,1803.57,1766.41
2018-02-11,1799.33,1771.95
2018-02-18,1822.64,1793.67
2018-02-25,1799.64,1788.51
2018-03-04,1803.96,1729.89
2018-03-11,1724.92,1698.69
2018-03-18,1707.71,1685.14
2018-03-25,1685.72,1666.21
2018-04-01,1702.24,1679.94
2018-04-08,1723.26,1723.26
2018-04-15,1743.76,1722.91
2018-04-22,1717.55,1717.55
2018-04-29,1682.03,1567.84
2018-05-06,1616.68,1552.88
2018-05-13,1613.61,1595.82
2018-05-20,1654.99,1588.27
2018-05-27,1673.37,1651.71
2018-06-03,1692.13,1661.25
2018-06-17,1619.09,1587.33
2018-06-24,1593.92,1525.68
2018-07-01,1547.19,1515.06
2018-07-08,1573.49,1554.66
2018-07-15,1573.49,1561.23
2018-07-22,1610.21,1582.9
2018-07-29,1624.1,1585.0
2018-08-05,1621.4,1600.66
2018-08-12,1540.88,1505.61
2018-08-19,1568.79,1540.21
2018-08-26,1586.13,1574.38
2018-09-02,1557.2,1472.04
2018-09-09,1537.06,1499.1
2018-09-16,1528.6,1501.93
2018-09-23,1536.65,1497.96
2018-09-30,1530.35,1467.18
2018-10-07,1480.3,1447.33
2018-10-14,1490.87,1445.41
2018-10-21,1487.1,1448.98
2018-10-28,1482.52,1450.26
2018-11-04,1516.02,1477.51
2018-11-11,1515.4,1461.41
2018-11-18,1511.0,1489.5
2018-11-25,1538.91,1501.28
2018-12-02,1554.88,1531.9
2018-12-09,1561.55,1529.87
2018-12-16,1560.16,1539.07
2018-12-23,1552.35,1531.97
2018-12-30,1580.82,1549.67
2019-01-06,1627.88,1595.45
2019-01-13,1649.33,1618.52
2019-01-20,1679.52,1646.36
2019-01-27,1686.34,1656.89
2019-02-03,1694.28,1673.1
2019-02-10,1680.35,1654.27
2019-02-17,1706.07,1682.12
2019-02-24,1701.38,1678.43
2019-03-03,1698.55,1667.35
2019-03-10,1691.46,1664.52
2019-03-17,1707.16,1693.49
2019-03-24,1699.36,1670.08
2019-03-31,1727.67,1706.83
2019-04-07,1721.05,1698.04
2019-04-14,1744.46,1713.84
2019-04-21,1733.36,1700.53
2019-04-28,1723.89,1690.55
2019-05-05,1685.79,1660.93
2019-05-12,1643.03,1570.71
2019-05-19,1627.58,1587.02
2019-05-26,1662.57,1620.75
2019-06-09,1697.97,1688.2
2019-06-16,1718.64,1668.8
2019-06-23,1708.46,1694.34
2019-06-30,1720.46,1709.6
2019-07-07,1714.27,1696.3
2019-07-14,1719.41,1709.02
2019-07-21,1706.38,1684.42
2019-07-28,1704.2,1671.3
2019-08-04,1657.13,1624.91
2019-08-11,1661.94,1642.75
2019-08-18,1667.3,1657.42
2019-08-25,1658.83,1647.62
2019-09-01,1645.91,1637.1
2019-09-08,1664.26,1647.33
2019-09-15,1633.23,1615.25
2019-09-22,1608.77,1585.23
2019-09-29,1591.4,1560.17
2019-10-06,1582.85,1551.71
2019-10-13,1598.49,1590.37
