,age,expenses,financial_status,experience,estimated_period,unwilling_toAccept,scenario,sum_scores,salary
0,2,4,2,3,2,2,4,3,97036796
1,3,3,2,4,3,4,4,4,84735152
2,4,3,4,6,4,1,3,4,5201451
3,3,4,4,5,4,1,1,4,22683827
4,4,1,1,2,2,4,4,3,3340289
5,2,3,2,4,2,4,1,3,39120852
6,1,1,1,1,1,1,1,1,47805639
7,2,2,1,8,1,2,1,3,93739975
8,2,2,3,2,3,1,1,2,89073665
9,1,1,1,1,1,1,1,1,96329669
10,2,1,3,7,2,1,2,3,93457253
11,3,4,3,5,2,1,4,4,98362149
12,1,1,3,6,1,2,2,3,18234211
13,4,3,2,5,4,3,3,4,51925006
14,3,2,1,1,4,2,4,3,20083902
15,4,4,2,3,2,2,3,3,54341555
16,1,1,1,1,1,1,1,1,6042914
17,4,4,4,8,4,4,4,5,94240691
18,4,4,3,1,4,1,4,3,68781025
19,2,2,4,5,1,3,4,3,33094841
20,4,4,4,6,4,4,4,5,52573717
21,4,2,2,1,2,4,3,3,48617135
22,3,1,1,8,4,2,1,3,92642076
23,4,4,4,7,4,4,4,5,35319541
24,3,2,3,4,4,4,4,4,39623576
25,4,4,4,7,4,4,4,5,51295114
26,2,3,3,3,2,3,2,3,67235703
27,4,4,1,4,3,4,3,4,76250468
28,1,4,4,2,4,1,4,3,22394332
29,3,3,2,4,3,1,1,3,92951729
30,1,1,1,1,1,1,1,1,90158010
31,4,3,2,1,3,1,2,3,39895118
32,4,2,1,5,3,4,1,3,83566561
33,3,3,1,2,1,1,3,2,43645719
34,4,2,2,2,1,4,1,3,64194336
35,1,1,2,3,2,1,2,2,41451202
36,2,1,2,5,1,1,1,2,72004020
37,1,1,1,1,1,1,1,1,56164435
38,4,4,4,7,2,1,4,4,48566604
39,1,3,1,4,3,2,1,2,41707109
40,4,2,3,3,3,2,4,3,45176359
41,1,1,1,1,1,1,1,1,3162082
42,3,2,1,1,2,1,3,2,14008388
43,4,2,3,6,3,4,3,4,60507573
44,4,4,4,6,4,4,4,5,43281904
45,1,1,1,1,1,1,1,1,47164934
46,1,1,2,1,3,4,4,3,31894665
47,2,3,4,4,1,4,2,3,91780607
48,2,1,4,6,1,2,2,3,98329032
49,2,4,1,2,2,1,3,2,17362713
50,1,1,4,8,2,2,4,4,88301916
51,2,1,3,4,2,3,2,3,72571354
52,1,3,3,5,3,4,3,4,77004610
53,4,4,2,8,1,1,4,4,15384792
54,3,2,1,6,1,3,2,3,88963399
55,4,2,4,4,2,2,4,4,53717730
56,1,2,1,2,3,2,3,2,24444639
57,4,4,4,7,4,4,4,5,25308883
58,4,2,2,1,3,3,3,3,40106922
59,3,1,2,3,4,3,3,3,68147293
60,1,1,1,1,1,1,1,1,95252676
61,4,1,2,7,1,1,4,3,91940160
62,4,1,1,8,1,1,4,3,45093509
63,1,1,1,1,1,1,1,1,66403815
64,2,2,2,6,3,1,3,3,56865866
65,1,1,1,5,1,4,2,2,67706323
66,3,4,1,1,4,2,3,3,92333235
67,4,4,4,5,4,4,4,5,69481834
68,1,3,3,2,2,4,3,3,87605801
69,2,2,4,4,1,4,2,3,98338888
70,1,2,1,3,3,4,1,2,33798175
71,1,1,1,1,1,1,1,1,57771982
72,3,2,2,2,2,4,4,3,39803422
73,1,2,1,5,2,1,2,2,89400346
74,1,1,2,3,1,4,3,2,78223916
75,1,1,2,6,2,3,3,3,69676901
76,1,1,1,1,1,1,1,1,62535241
77,4,2,4,6,1,4,1,4,79379273
78,4,2,2,5,2,2,3,3,45130694
79,4,1,2,4,1,4,4,3,27185298
80,2,4,2,4,1,1,3,3,93208961
81,1,1,1,1,1,1,1,1,48062998
82,2,3,4,5,1,3,1,3,62630080
83,3,4,1,8,2,1,2,3,11527173
84,2,2,3,4,1,2,2,3,93990282
85,2,3,3,4,3,2,3,3,84030083
86,4,4,3,4,2,2,3,4,96618652
87,2,4,3,1,4,4,1,3,96072123
88,2,1,2,1,3,3,1,2,27876784
89,4,2,3,6,4,3,2,4,69271939
90,4,4,4,3,4,2,2,4,71940184
91,3,3,4,5,4,2,3,4,99102309
92,4,4,4,8,4,4,4,5,32207122
93,1,1,1,1,1,1,1,1,10848252
94,2,1,2,4,2,4,1,3,76161357
95,4,4,4,2,3,2,1,3,47793145
96,2,2,2,6,2,1,3,3,11306040
97,3,4,2,4,2,4,4,4,82572535
98,2,1,2,7,2,3,3,3,39871501
99,4,2,1,7,2,3,1,3,99562186
100,1,1,1,1,1,1,1,1,90616359
101,2,1,4,3,1,1,2,2,6327839
102,3,1,3,2,4,2,3,3,92923904
103,4,1,4,6,4,2,2,4,16180911
104,2,3,3,1,2,3,4,3,6316267
105,3,1,4,4,2,1,3,3,17784013
106,2,3,1,6,3,1,2,3,71938900
107,2,3,2,6,1,3,3,3,83701887
108,4,1,2,8,4,1,3,4,92985767
109,4,3,1,5,3,2,1,3,43003225
110,1,4,4,3,4,1,3,3,34011772
111,3,2,4,7,2,3,1,4,16621709
112,1,2,2,5,2,4,4,3,11444359
113,1,1,1,1,1,1,1,1,52163011
114,2,1,1,7,4,3,3,3,60063854
115,1,2,2,6,1,3,4,3,27682305
116,4,4,2,5,2,4,4,4,59911368
117,1,1,1,1,1,1,1,1,30729082
118,1,3,2,7,1,2,4,3,81321799
119,4,4,1,4,4,2,3,4,74331758
120,2,1,3,8,3,4,2,4,65877681
121,4,2,2,6,1,3,3,3,2198183
122,2,3,3,8,3,3,3,4,47773019
123,1,4,4,5,1,1,2,3,7115815
124,4,2,4,6,4,2,3,4,89041161
125,4,4,1,5,1,1,2,3,78995926
126,1,2,2,3,3,2,4,3,78632743
127,2,3,4,2,4,2,4,3,73571125
128,1,4,2,3,4,3,4,3,45353290
129,4,2,4,7,1,1,1,3,50900196
130,1,4,4,2,2,2,2,3,18177696
131,1,1,3,7,4,2,1,3,29186923
132,1,1,1,1,1,1,1,1,25979660
133,3,4,3,4,4,4,4,4,84786681
134,4,2,2,5,1,2,2,3,43151693
135,4,4,4,8,4,4,4,5,39626212
136,1,1,1,1,1,1,1,1,93590301
137,3,3,4,6,2,2,2,4,24073211
138,4,4,2,2,3,4,4,4,76004561
139,1,4,1,1,2,3,4,3,85859334
140,1,1,1,1,1,1,1,1,3308010
141,2,3,1,1,1,2,1,2,37992846
142,3,1,4,5,1,2,4,3,12816294
143,1,1,1,1,1,1,1,1,63105922
144,3,1,4,5,1,2,3,3,37368217
145,4,4,4,5,2,2,3,4,63094845
146,4,1,4,5,3,4,1,4,54913143
147,1,1,1,1,1,1,1,1,57398199
148,1,4,2,3,3,2,1,3,87383980
149,2,4,3,5,2,1,2,3,16450673
150,1,2,1,7,2,3,3,3,35617719
151,2,2,3,6,3,2,1,3,38982294
152,3,2,3,2,3,1,4,3,64041027
153,4,1,1,3,1,1,2,2,72883733
154,1,2,2,2,3,3,1,2,12859025
155,1,1,3,8,3,3,4,4,50765881
156,1,1,3,2,1,2,3,2,28470863
157,1,1,1,1,1,1,1,1,21507386
158,3,1,4,4,4,4,2,4,31207353
159,2,2,3,3,2,4,2,3,90058516
160,1,1,1,1,1,1,1,1,35038442
161,2,2,3,8,4,3,1,4,19489000
162,4,2,1,8,4,2,1,4,74897183
163,1,1,1,1,1,1,1,1,12728526
164,3,3,1,2,2,2,1,2,35484605
165,1,1,1,1,1,1,1,1,26935055
166,4,4,4,8,4,4,4,5,18864794
167,1,2,4,3,4,2,1,3,89504793
168,2,1,2,4,4,2,3,3,17043022
169,3,4,1,7,1,3,1,3,93710924
170,1,1,1,1,1,1,1,1,77162747
171,4,4,4,7,4,4,4,5,2974198
172,2,4,4,6,2,2,3,4,75103109
173,1,4,2,2,1,3,4,3,43868214
174,1,1,1,1,1,1,1,1,98465541
175,1,1,1,1,1,1,1,1,43314032
176,1,4,4,8,3,3,3,4,41826305
177,3,4,1,6,4,1,4,4,57745070
178,2,2,3,7,3,2,2,3,25560241
179,3,1,4,3,1,1,4,3,10540380
180,1,2,1,6,1,2,2,2,68543579
181,2,4,3,7,1,2,3,4,78593325
182,2,4,3,8,4,4,4,5,24284519
183,4,2,2,5,2,4,4,4,34846516
184,2,1,1,8,1,4,4,3,67625828
185,3,2,2,5,1,3,2,3,2694583
186,1,1,1,1,1,1,1,1,53378179
187,2,2,4,4,4,1,2,3,10045317
188,1,3,3,5,2,2,2,3,87423122
189,1,1,1,1,1,1,1,1,32341784
190,2,1,3,2,4,2,4,3,58238175
191,2,3,1,2,4,1,3,3,61161674
192,3,3,2,2,3,1,3,3,39698394
193,4,1,4,7,4,4,4,5,51343215
194,3,4,3,2,2,3,2,3,74115658
